ID Number,MAJOR COMMAND NAME
01,1ST INF DIV
02,4TH INF DIV
03,9TH INF DIV
04,25TH INF DIV
05,TH INF DIV
06,1ST AIR CAV DIV
07,11TH ARM CAVRGT
08,1 BDE 101ABNDIV
09,101ST ABN DIV
10,173RD ABN  BDE
11,173RD ABN BDE
12,173RD ABN DIV
13,196TH INF BDE
14,196TH INF DIV
15,199TH INF BDE
16,199TH INF DIV
17,1ST AVN BDE
18,USRV NONDIVARTY
19,YSRV NONDIVARTY
20,18TH MP BDE
21,ALL OTHER UNITS
22,1ST LOG CMD
23,AMERICAL DIV
24,AMERICAL
25,USA ENG COMB PV
26,USA ENG CO COMB
27,HQ USAV
28,82ND ABN DIV
29,18TH ENG BDE
30,20TH ENG BDE
31,1ST MIL INTELBN
32,USA SPT CAMRBAY
